task_type,arrival_time,metadata
question_answering,0.008,
question_answering,0.011,
question_answering,0.017,
question_answering,0.035,
question_answering,0.035,
question_answering,0.037,
question_answering,0.048,
question_answering,0.065,
question_answering,0.067,
question_answering,0.075,
question_answering,0.097,
question_answering,0.1,
question_answering,0.102,
question_answering,0.103,
question_answering,0.105,
question_answering,0.144,
question_answering,0.161,
question_answering,0.162,
question_answering,0.179,
question_answering,0.183,
question_answering,0.188,
question_answering,0.216,
question_answering,0.233,
question_answering,0.238,
question_answering,0.239,
question_answering,0.244,
question_answering,0.244,
question_answering,0.247,
question_answering,0.263,
question_answering,0.263,
question_answering,0.272,
question_answering,0.282,
question_answering,0.283,
question_answering,0.287,
question_answering,0.288,
question_answering,0.31,
question_answering,0.35,
question_answering,0.35,
question_answering,0.372,
question_answering,0.381,
question_answering,0.394,
question_answering,0.404,
question_answering,0.413,
question_answering,0.413,
question_answering,0.416,
question_answering,0.424,
question_answering,0.438,
question_answering,0.441,
question_answering,0.444,
question_answering,0.464,
question_answering,0.5,
question_answering,0.522,
question_answering,0.527,
question_answering,0.536,
question_answering,0.54,
question_answering,0.544,
question_answering,0.546,
question_answering,0.549,
question_answering,0.549,
question_answering,0.556,
question_answering,0.561,
question_answering,0.57,
question_answering,0.58,
question_answering,0.582,
question_answering,0.609,
question_answering,0.638,
question_answering,0.647,
question_answering,0.652,
question_answering,0.657,
question_answering,0.659,
question_answering,0.662,
question_answering,0.665,
question_answering,0.667,
question_answering,0.701,
question_answering,0.732,
question_answering,0.741,
question_answering,0.755,
question_answering,0.759,
question_answering,0.76,
question_answering,0.766,
question_answering,0.773,
question_answering,0.774,
question_answering,0.781,
question_answering,0.83,
question_answering,0.835,
question_answering,0.839,
question_answering,0.855,
question_answering,0.869,
question_answering,0.873,
question_answering,0.883,
question_answering,0.891,
question_answering,0.895,
question_answering,0.896,
question_answering,0.9,
question_answering,0.906,
question_answering,0.916,
question_answering,0.919,
question_answering,0.93,
question_answering,0.932,
question_answering,0.943,
question_answering,0.958,
question_answering,0.973,
question_answering,0.982,
question_answering,0.986,
question_answering,0.998,
question_answering,1.017,
question_answering,1.027,
question_answering,1.068,
question_answering,1.105,
question_answering,1.107,
question_answering,1.107,
question_answering,1.109,
question_answering,1.135,
question_answering,1.165,
question_answering,1.168,
question_answering,1.172,
question_answering,1.18,
question_answering,1.183,
question_answering,1.19,
question_answering,1.201,
question_answering,1.208,
question_answering,1.221,
question_answering,1.228,
question_answering,1.228,
question_answering,1.233,
question_answering,1.24,
question_answering,1.245,
question_answering,1.25,
question_answering,1.257,
question_answering,1.263,
question_answering,1.264,
question_answering,1.267,
question_answering,1.295,
question_answering,1.296,
question_answering,1.296,
question_answering,1.299,
question_answering,1.308,
question_answering,1.355,
question_answering,1.404,
question_answering,1.454,
question_answering,1.455,
question_answering,1.466,
question_answering,1.474,
question_answering,1.476,
question_answering,1.504,
question_answering,1.507,
question_answering,1.575,
question_answering,1.584,
question_answering,1.586,
question_answering,1.591,
question_answering,1.593,
question_answering,1.598,
question_answering,1.607,
question_answering,1.62,
question_answering,1.627,
question_answering,1.63,
question_answering,1.639,
question_answering,1.645,
question_answering,1.649,
question_answering,1.653,
question_answering,1.656,
question_answering,1.662,
question_answering,1.668,
question_answering,1.691,
question_answering,1.704,
question_answering,1.719,
question_answering,1.724,
question_answering,1.728,
question_answering,1.739,
