task_type,arrival_time,metadata
object_detection,0.0,sample_image.jpg
question_answering,0.001,
question_answering,0.002,
image_classification,0.003,sample_image.jpg
image_classification,0.004,sample_image.jpg
question_answering,0.005,
object_detection,0.005,sample_image.jpg
question_answering,0.006,
object_detection,0.007,sample_image.jpg
image_classification,0.007,sample_image.jpg
speech_recognition,0.007,sample_audio.wav
question_answering,0.009,
speech_recognition,0.009,sample_audio.wav
object_detection,0.01,sample_image.jpg
speech_recognition,0.011,sample_audio.wav
speech_recognition,0.012,sample_audio.wav
image_classification,0.014,sample_image.jpg
image_classification,0.014,sample_image.jpg
speech_recognition,0.015,sample_audio.wav
object_detection,0.015,sample_image.jpg
image_classification,0.015,sample_image.jpg
image_classification,0.019,sample_image.jpg
question_answering,0.019,
speech_recognition,0.02,sample_audio.wav
object_detection,0.02,sample_image.jpg
question_answering,0.021,
question_answering,0.021,
speech_recognition,0.021,sample_audio.wav
speech_recognition,0.023,sample_audio.wav
speech_recognition,0.024,sample_audio.wav
image_classification,0.026,sample_image.jpg
image_classification,0.027,sample_image.jpg
speech_recognition,0.03,sample_audio.wav
image_classification,0.03,sample_image.jpg
object_detection,0.032,sample_image.jpg
object_detection,0.036,sample_image.jpg
image_classification,0.039,sample_image.jpg
object_detection,0.039,sample_image.jpg
object_detection,0.039,sample_image.jpg
image_classification,0.04,sample_image.jpg
speech_recognition,0.041,sample_audio.wav
object_detection,0.041,sample_image.jpg
image_classification,0.041,sample_image.jpg
image_classification,0.041,sample_image.jpg
image_classification,0.042,sample_image.jpg
object_detection,0.043,sample_image.jpg
object_detection,0.043,sample_image.jpg
object_detection,0.043,sample_image.jpg
object_detection,0.045,sample_image.jpg
question_answering,0.048,
speech_recognition,0.048,sample_audio.wav
object_detection,0.048,sample_image.jpg
object_detection,0.048,sample_image.jpg
speech_recognition,0.05,sample_audio.wav
object_detection,0.051,sample_image.jpg
speech_recognition,0.051,sample_audio.wav
speech_recognition,0.051,sample_audio.wav
object_detection,0.052,sample_image.jpg
question_answering,0.054,
object_detection,0.054,sample_image.jpg
object_detection,0.055,sample_image.jpg
image_classification,0.058,sample_image.jpg
question_answering,0.059,
question_answering,0.059,
speech_recognition,0.061,sample_audio.wav
object_detection,0.061,sample_image.jpg
image_classification,0.064,sample_image.jpg
speech_recognition,0.064,sample_audio.wav
image_classification,0.065,sample_image.jpg
object_detection,0.065,sample_image.jpg
question_answering,0.066,
question_answering,0.066,
object_detection,0.067,sample_image.jpg
speech_recognition,0.067,sample_audio.wav
speech_recognition,0.068,sample_audio.wav
question_answering,0.069,
object_detection,0.069,sample_image.jpg
object_detection,0.069,sample_image.jpg
object_detection,0.069,sample_image.jpg
speech_recognition,0.07,sample_audio.wav
question_answering,0.071,
image_classification,0.072,sample_image.jpg
question_answering,0.072,
image_classification,0.073,sample_image.jpg
image_classification,0.075,sample_image.jpg
speech_recognition,0.075,sample_audio.wav
object_detection,0.077,sample_image.jpg
question_answering,0.078,
object_detection,0.08,sample_image.jpg
object_detection,0.081,sample_image.jpg
image_classification,0.087,sample_image.jpg
object_detection,0.087,sample_image.jpg
speech_recognition,0.09,sample_audio.wav
question_answering,0.09,
object_detection,0.09,sample_image.jpg
object_detection,0.092,sample_image.jpg
image_classification,0.093,sample_image.jpg
question_answering,0.095,
image_classification,0.095,sample_image.jpg
image_classification,0.096,sample_image.jpg
object_detection,0.096,sample_image.jpg
object_detection,0.096,sample_image.jpg
image_classification,0.098,sample_image.jpg
image_classification,0.098,sample_image.jpg
image_classification,0.099,sample_image.jpg
object_detection,0.101,sample_image.jpg
object_detection,0.102,sample_image.jpg
speech_recognition,0.104,sample_audio.wav
image_classification,0.105,sample_image.jpg
image_classification,0.105,sample_image.jpg
question_answering,0.105,
object_detection,0.105,sample_image.jpg
object_detection,0.106,sample_image.jpg
object_detection,0.107,sample_image.jpg
speech_recognition,0.107,sample_audio.wav
question_answering,0.108,
image_classification,0.109,sample_image.jpg
object_detection,0.109,sample_image.jpg
question_answering,0.112,
image_classification,0.113,sample_image.jpg
image_classification,0.113,sample_image.jpg
object_detection,0.114,sample_image.jpg
image_classification,0.115,sample_image.jpg
image_classification,0.115,sample_image.jpg
question_answering,0.116,
question_answering,0.116,
speech_recognition,0.116,sample_audio.wav
question_answering,0.117,
question_answering,0.119,
object_detection,0.121,sample_image.jpg
speech_recognition,0.123,sample_audio.wav
image_classification,0.124,sample_image.jpg
question_answering,0.128,
speech_recognition,0.129,sample_audio.wav
object_detection,0.13,sample_image.jpg
object_detection,0.131,sample_image.jpg
object_detection,0.131,sample_image.jpg
speech_recognition,0.133,sample_audio.wav
question_answering,0.134,
object_detection,0.136,sample_image.jpg
speech_recognition,0.137,sample_audio.wav
object_detection,0.137,sample_image.jpg
speech_recognition,0.139,sample_audio.wav
image_classification,0.14,sample_image.jpg
image_classification,0.14,sample_image.jpg
question_answering,0.14,
question_answering,0.141,
speech_recognition,0.142,sample_audio.wav
object_detection,0.144,sample_image.jpg
speech_recognition,0.146,sample_audio.wav
speech_recognition,0.147,sample_audio.wav
image_classification,0.149,sample_image.jpg
speech_recognition,0.149,sample_audio.wav
image_classification,0.152,sample_image.jpg
question_answering,0.152,
object_detection,0.156,sample_image.jpg
object_detection,0.156,sample_image.jpg
speech_recognition,0.157,sample_audio.wav
image_classification,0.158,sample_image.jpg
speech_recognition,0.16,sample_audio.wav
question_answering,0.162,
image_classification,0.162,sample_image.jpg
image_classification,0.165,sample_image.jpg
object_detection,0.165,sample_image.jpg
image_classification,0.165,sample_image.jpg
question_answering,0.165,
image_classification,0.166,sample_image.jpg
speech_recognition,0.167,sample_audio.wav
speech_recognition,0.167,sample_audio.wav
image_classification,0.169,sample_image.jpg
question_answering,0.172,
question_answering,0.173,
object_detection,0.173,sample_image.jpg
image_classification,0.175,sample_image.jpg
image_classification,0.176,sample_image.jpg
question_answering,0.176,
question_answering,0.176,
question_answering,0.176,
image_classification,0.178,sample_image.jpg
question_answering,0.178,
image_classification,0.185,sample_image.jpg
question_answering,0.185,
speech_recognition,0.186,sample_audio.wav
speech_recognition,0.187,sample_audio.wav
speech_recognition,0.191,sample_audio.wav
object_detection,0.191,sample_image.jpg
speech_recognition,0.192,sample_audio.wav
question_answering,0.193,
speech_recognition,0.193,sample_audio.wav
question_answering,0.195,
speech_recognition,0.196,sample_audio.wav
question_answering,0.196,
